"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"REER","GPR","D6","X_to_Y","Linear_F",11.8855,0,0,"Yes","Yes"
"REER","GPR","D6","Y_to_X","Linear_F",0.2973,0.743,0.8369,"No","No"
"REER","GPR","D6","X_to_Y","NN_GC",0.1762,0.9999,1,"No","No"
"REER","GPR","D6","Y_to_X","NN_GC",-0.1055,1,1,"No","No"
"REER","USEMV","D1","X_to_Y","Linear_F",6.4821,0.0017,0.0051,"Yes","Yes"
"REER","USEMV","D1","Y_to_X","Linear_F",0.2719,0.7621,0.8369,"No","No"
"REER","USEMV","D1","X_to_Y","NN_GC",0.0421,1,1,"No","No"
"REER","USEMV","D1","Y_to_X","NN_GC",0.449,0.9678,1,"No","No"
"REER","USEMV","D2","X_to_Y","Linear_F",3.3203,0.0374,0.0736,"Yes","Yes"
"REER","USEMV","D2","Y_to_X","Linear_F",0.0566,0.945,0.9692,"No","No"
"REER","USEMV","D2","X_to_Y","NN_GC",0.0581,1,1,"No","No"
"REER","USEMV","D2","Y_to_X","NN_GC",0.143,1,1,"No","No"
"REER","USEMV","D3","X_to_Y","Linear_F",1.3731,0.2548,0.3351,"No","No"
"REER","USEMV","D3","Y_to_X","Linear_F",0.9631,0.3828,0.5546,"No","No"
"REER","USEMV","D3","X_to_Y","NN_GC",0.0073,1,1,"No","No"
"REER","USEMV","D3","Y_to_X","NN_GC",0.0798,1,1,"No","No"
"REER","USEMV","D4","X_to_Y","Linear_F",2.0702,0.1278,0.187,"No","No"
"REER","USEMV","D4","Y_to_X","Linear_F",0.3122,0.7321,0.8369,"No","No"
"REER","USEMV","D4","X_to_Y","NN_GC",0.0555,1,1,"No","No"
"REER","USEMV","D4","Y_to_X","NN_GC",0.0153,1,1,"No","No"
"REER","USEMV","D5","X_to_Y","Linear_F",8.6515,2e-04,8e-04,"Yes","Yes"
"REER","USEMV","D5","Y_to_X","Linear_F",1.1089,0.3312,0.5031,"No","No"
"REER","USEMV","D5","X_to_Y","NN_GC",0.0717,1,1,"No","No"
"REER","USEMV","D5","Y_to_X","NN_GC",0.1787,0.9999,1,"No","No"
"REER","USEMV","D6","X_to_Y","Linear_F",8.2329,3e-04,0.0011,"Yes","Yes"
"REER","USEMV","D6","Y_to_X","Linear_F",2.6244,0.074,0.193,"Yes","No"
"REER","USEMV","D6","X_to_Y","NN_GC",0.3008,0.9963,1,"No","No"
"REER","USEMV","D6","Y_to_X","NN_GC",1.2776,0.21,1,"No","No"
"REER","USMPU","D1","X_to_Y","Linear_F",1.7316,0.1787,0.2465,"No","No"
"REER","USMPU","D1","Y_to_X","Linear_F",2.5682,0.0783,0.1997,"Yes","No"
"REER","USMPU","D1","X_to_Y","NN_GC",0.0387,1,1,"No","No"
