"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USMPU","D3","Y_to_X","NN_GC",0.0982,1,1,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","Linear_F",2.4313,0.0895,0.1557,"Yes","No"
"Unemployment Rate","USMPU","D4","Y_to_X","Linear_F",6.9354,0.0011,0.0082,"Yes","Yes"
"Unemployment Rate","USMPU","D4","X_to_Y","NN_GC",0.0095,1,1,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","NN_GC",0.028,1,1,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","Linear_F",14.4428,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D5","Y_to_X","Linear_F",2.4165,0.0909,0.2371,"Yes","No"
"Unemployment Rate","USMPU","D5","X_to_Y","NN_GC",0.2717,0.998,1,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","NN_GC",0.3589,0.9899,1,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","Linear_F",15.2186,0,0,"Yes","Yes"
"Unemployment Rate","USMPU","D6","Y_to_X","Linear_F",1.1409,0.3208,0.5493,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","NN_GC",-0.1831,1,1,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","NN_GC",0.0412,1,1,"No","No"
"REER","EPU","D1","X_to_Y","Linear_F",0.4642,0.629,0.6949,"No","No"
"REER","EPU","D1","Y_to_X","Linear_F",0.9084,0.4042,0.614,"No","No"
"REER","EPU","D1","X_to_Y","NN_GC",-0.0116,1,1,"No","No"
"REER","EPU","D1","Y_to_X","NN_GC",-0.0017,1,1,"No","No"
"REER","EPU","D2","X_to_Y","Linear_F",0.2114,0.8096,0.8352,"No","No"
"REER","EPU","D2","Y_to_X","Linear_F",0.0114,0.9887,0.9887,"No","No"
"REER","EPU","D2","X_to_Y","NN_GC",0.0649,1,1,"No","No"
"REER","EPU","D2","Y_to_X","NN_GC",0.137,1,1,"No","No"
"REER","EPU","D3","X_to_Y","Linear_F",1.4635,0.233,0.3251,"No","No"
"REER","EPU","D3","Y_to_X","Linear_F",1.4345,0.2398,0.4659,"No","No"
"REER","EPU","D3","X_to_Y","NN_GC",0.4965,0.9482,1,"No","No"
"REER","EPU","D3","Y_to_X","NN_GC",3e-04,1,1,"No","No"
"REER","EPU","D4","X_to_Y","Linear_F",2.8504,0.0593,0.1112,"Yes","No"
"REER","EPU","D4","Y_to_X","Linear_F",6.3051,0.0021,0.0126,"Yes","Yes"
"REER","EPU","D4","X_to_Y","NN_GC",0.0223,1,1,"No","No"
"REER","EPU","D4","Y_to_X","NN_GC",0.0118,1,1,"No","No"
"REER","EPU","D5","X_to_Y","Linear_F",3.4543,0.0328,0.0703,"Yes","Yes"
"REER","EPU","D5","Y_to_X","Linear_F",6.9931,0.0011,0.0082,"Yes","Yes"
"REER","EPU","D5","X_to_Y","NN_GC",0.0115,1,1,"No","No"
"REER","EPU","D5","Y_to_X","NN_GC",0.2468,0.9989,1,"No","No"
"REER","EPU","D6","X_to_Y","Linear_F",8.3684,3e-04,0.0012,"Yes","Yes"
"REER","EPU","D6","Y_to_X","Linear_F",17.5325,0,0,"Yes","Yes"
"REER","EPU","D6","X_to_Y","NN_GC",0.1386,1,1,"No","No"
"REER","EPU","D6","Y_to_X","NN_GC",0.0062,1,1,"No","No"
"REER","GPR","D1","X_to_Y","Linear_F",1.0676,0.3451,0.4406,"No","No"
"REER","GPR","D1","Y_to_X","Linear_F",0.6835,0.5056,0.669,"No","No"
"REER","GPR","D1","X_to_Y","NN_GC",-0.0165,1,1,"No","No"
"REER","GPR","D1","Y_to_X","NN_GC",0.7358,0.7566,1,"No","No"
"REER","GPR","D2","X_to_Y","Linear_F",0.9649,0.3821,0.4825,"No","No"
"REER","GPR","D2","Y_to_X","Linear_F",0.1401,0.8693,0.884,"No","No"
"REER","GPR","D2","X_to_Y","NN_GC",0.0523,1,1,"No","No"
"REER","GPR","D2","Y_to_X","NN_GC",2.3138,0.0032,0.172,"Yes","No"
"REER","GPR","D3","X_to_Y","Linear_F",4.2602,0.0149,0.0397,"Yes","Yes"
"REER","GPR","D3","Y_to_X","Linear_F",5.822,0.0033,0.0163,"Yes","Yes"
"REER","GPR","D3","X_to_Y","NN_GC",0.5751,0.9017,1,"No","No"
"REER","GPR","D3","Y_to_X","NN_GC",1.6608,0.0534,1,"Yes","No"
"REER","GPR","D4","X_to_Y","Linear_F",30.5032,0,0,"Yes","Yes"
"REER","GPR","D4","Y_to_X","Linear_F",2.2657,0.1054,0.2558,"No","No"
"REER","GPR","D4","X_to_Y","NN_GC",0.0544,1,1,"No","No"
"REER","GPR","D4","Y_to_X","NN_GC",0.0448,1,1,"No","No"
"REER","GPR","D5","X_to_Y","Linear_F",2.0111,0.1355,0.2119,"No","No"
"REER","GPR","D5","Y_to_X","Linear_F",0.732,0.4818,0.6646,"No","No"
"REER","GPR","D5","X_to_Y","NN_GC",0.0267,1,1,"No","No"
"REER","GPR","D5","Y_to_X","NN_GC",0.2138,0.9995,1,"No","No"
"REER","GPR","D6","X_to_Y","Linear_F",1.1918,0.305,0.3978,"No","No"
"REER","GPR","D6","Y_to_X","Linear_F",2.3564,0.0964,0.2461,"Yes","No"
"REER","GPR","D6","X_to_Y","NN_GC",0.193,0.9998,1,"No","No"
"REER","GPR","D6","Y_to_X","NN_GC",-0.0284,1,1,"No","No"
"REER","USEMV","D1","X_to_Y","Linear_F",1.4041,0.2471,0.337,"No","No"
"REER","USEMV","D1","Y_to_X","Linear_F",0.6691,0.5129,0.669,"No","No"
"REER","USEMV","D1","X_to_Y","NN_GC",-0.0207,1,1,"No","No"
"REER","USEMV","D1","Y_to_X","NN_GC",0.5275,0.932,1,"No","No"
"REER","USEMV","D2","X_to_Y","Linear_F",2.0075,0.136,0.2119,"No","No"
"REER","USEMV","D2","Y_to_X","Linear_F",0.146,0.8642,0.884,"No","No"
"REER","USEMV","D2","X_to_Y","NN_GC",0.0411,1,1,"No","No"
"REER","USEMV","D2","Y_to_X","NN_GC",0.1659,0.9999,1,"No","No"
"REER","USEMV","D3","X_to_Y","Linear_F",0.6289,0.5338,0.6043,"No","No"
"REER","USEMV","D3","Y_to_X","Linear_F",1.6419,0.1952,0.4109,"No","No"
"REER","USEMV","D3","X_to_Y","NN_GC",0.5579,0.9134,1,"No","No"
"REER","USEMV","D3","Y_to_X","NN_GC",0.0994,1,1,"No","No"
"REER","USEMV","D4","X_to_Y","Linear_F",1.5089,0.2227,0.3181,"No","No"
"REER","USEMV","D4","Y_to_X","Linear_F",0.7186,0.4882,0.6657,"No","No"
"REER","USEMV","D4","X_to_Y","NN_GC",0.043,1,1,"No","No"
"REER","USEMV","D4","Y_to_X","NN_GC",0.0607,1,1,"No","No"
"REER","USEMV","D5","X_to_Y","Linear_F",4.5629,0.0111,0.031,"Yes","Yes"
"REER","USEMV","D5","Y_to_X","Linear_F",5.7255,0.0036,0.0166,"Yes","Yes"
"REER","USEMV","D5","X_to_Y","NN_GC",0.0191,1,1,"No","No"
"REER","USEMV","D5","Y_to_X","NN_GC",0.1473,1,1,"No","No"
"REER","USEMV","D6","X_to_Y","Linear_F",13.747,0,0,"Yes","Yes"
"REER","USEMV","D6","Y_to_X","Linear_F",4.6005,0.0107,0.0389,"Yes","Yes"
"REER","USEMV","D6","X_to_Y","NN_GC",0.5962,0.8863,1,"No","No"
"REER","USEMV","D6","Y_to_X","NN_GC",1.0515,0.4021,1,"No","No"
"REER","USMPU","D1","X_to_Y","Linear_F",0.3507,0.7045,0.7616,"No","No"
"REER","USMPU","D1","Y_to_X","Linear_F",1.1783,0.3091,0.5493,"No","No"
"REER","USMPU","D1","X_to_Y","NN_GC",-0.0142,1,1,"No","No"
"REER","USMPU","D1","Y_to_X","NN_GC",0.8257,0.656,1,"No","No"
"REER","USMPU","D2","X_to_Y","Linear_F",0.9098,0.4036,0.4993,"No","No"
"REER","USMPU","D2","Y_to_X","Linear_F",0.2747,0.76,0.8331,"No","No"
"REER","USMPU","D2","X_to_Y","NN_GC",0.0356,1,1,"No","No"
"REER","USMPU","D2","Y_to_X","NN_GC",1.2361,0.239,1,"No","No"
"REER","USMPU","D3","X_to_Y","Linear_F",0.4009,0.67,0.7309,"No","No"
"REER","USMPU","D3","Y_to_X","Linear_F",5.2936,0.0055,0.0236,"Yes","Yes"
"REER","USMPU","D3","X_to_Y","NN_GC",0.5347,0.9278,1,"No","No"
"REER","USMPU","D3","Y_to_X","NN_GC",0.1607,0.9999,1,"No","No"
"REER","USMPU","D4","X_to_Y","Linear_F",8.6888,2e-04,9e-04,"Yes","Yes"
"REER","USMPU","D4","Y_to_X","Linear_F",3.765,0.0242,0.0782,"Yes","Yes"
"REER","USMPU","D4","X_to_Y","NN_GC",0.0384,1,1,"No","No"
"REER","USMPU","D4","Y_to_X","NN_GC",0.0227,1,1,"No","No"
"REER","USMPU","D5","X_to_Y","Linear_F",1.8034,0.1664,0.2471,"No","No"
"REER","USMPU","D5","Y_to_X","Linear_F",1.4304,0.2407,0.4659,"No","No"
"REER","USMPU","D5","X_to_Y","NN_GC",0.0123,1,1,"No","No"
"REER","USMPU","D5","Y_to_X","NN_GC",0.4298,0.9741,1,"No","No"
"REER","USMPU","D6","X_to_Y","Linear_F",15.5871,0,0,"Yes","Yes"
"REER","USMPU","D6","Y_to_X","Linear_F",0.4679,0.6267,0.7634,"No","No"
"REER","USMPU","D6","X_to_Y","NN_GC",0.1871,0.9998,1,"No","No"
"REER","USMPU","D6","Y_to_X","NN_GC",-0.0191,1,1,"No","No"
"SIR","EPU","D1","X_to_Y","Linear_F",2.3231,0.0996,0.1683,"Yes","No"
"SIR","EPU","D1","Y_to_X","Linear_F",2.6405,0.0729,0.1944,"Yes","No"
"SIR","EPU","D1","X_to_Y","NN_GC",3.6484,0,0,"Yes","Yes"
"SIR","EPU","D1","Y_to_X","NN_GC",-0.015,1,1,"No","No"
"SIR","EPU","D2","X_to_Y","Linear_F",0.33,0.7191,0.7686,"No","No"
"SIR","EPU","D2","Y_to_X","Linear_F",1.0362,0.356,0.577,"No","No"
"SIR","EPU","D2","X_to_Y","NN_GC",0.0073,1,1,"No","No"
"SIR","EPU","D2","Y_to_X","NN_GC",0.1169,1,1,"No","No"
"SIR","EPU","D3","X_to_Y","Linear_F",6.782,0.0013,0.0047,"Yes","Yes"
"SIR","EPU","D3","Y_to_X","Linear_F",0.3959,0.6734,0.7737,"No","No"
"SIR","EPU","D3","X_to_Y","NN_GC",0.0433,1,1,"No","No"
"SIR","EPU","D3","Y_to_X","NN_GC",0.0046,1,1,"No","No"
"SIR","EPU","D4","X_to_Y","Linear_F",6.5104,0.0017,0.0058,"Yes","Yes"
"SIR","EPU","D4","Y_to_X","Linear_F",0.3374,0.7139,0.8082,"No","No"
"SIR","EPU","D4","X_to_Y","NN_GC",0.3871,0.9849,1,"No","No"
"SIR","EPU","D4","Y_to_X","NN_GC",0.0344,1,1,"No","No"
"SIR","EPU","D5","X_to_Y","Linear_F",0.9547,0.386,0.4825,"No","No"
"SIR","EPU","D5","Y_to_X","Linear_F",1.7189,0.1809,0.3876,"No","No"
"SIR","EPU","D5","X_to_Y","NN_GC",0.0503,1,1,"No","No"
"SIR","EPU","D5","Y_to_X","NN_GC",0.2419,0.999,1,"No","No"
"SIR","EPU","D6","X_to_Y","Linear_F",40.8102,0,0,"Yes","Yes"
"SIR","EPU","D6","Y_to_X","Linear_F",81.7555,0,0,"Yes","Yes"
"SIR","EPU","D6","X_to_Y","NN_GC",0.2163,0.9995,1,"No","No"
"SIR","EPU","D6","Y_to_X","NN_GC",-0.0318,1,1,"No","No"
"SIR","GPR","D1","X_to_Y","Linear_F",2.0885,0.1256,0.2064,"No","No"
"SIR","GPR","D1","Y_to_X","Linear_F",0.5326,0.5876,0.7345,"No","No"
"SIR","GPR","D1","X_to_Y","NN_GC",3.1945,0,0,"Yes","Yes"
"SIR","GPR","D1","Y_to_X","NN_GC",0.4866,0.9528,1,"No","No"
"SIR","GPR","D2","X_to_Y","Linear_F",0.2055,0.8143,0.8352,"No","No"
"SIR","GPR","D2","Y_to_X","Linear_F",2.0083,0.1359,0.302,"No","No"
"SIR","GPR","D2","X_to_Y","NN_GC",-7e-04,1,1,"No","No"
"SIR","GPR","D2","Y_to_X","NN_GC",2.0004,0.013,0.312,"Yes","No"
"SIR","GPR","D3","X_to_Y","Linear_F",1.8009,0.1668,0.2471,"No","No"
"SIR","GPR","D3","Y_to_X","Linear_F",0.4176,0.659,0.7678,"No","No"
"SIR","GPR","D3","X_to_Y","NN_GC",0.0452,1,1,"No","No"
"SIR","GPR","D3","Y_to_X","NN_GC",1.2423,0.2345,1,"No","No"
"SIR","GPR","D4","X_to_Y","Linear_F",5.335,0.0053,0.0163,"Yes","Yes"
"SIR","GPR","D4","Y_to_X","Linear_F",2.6909,0.0694,0.1909,"Yes","No"
"SIR","GPR","D4","X_to_Y","NN_GC",0.3582,0.99,1,"No","No"
"SIR","GPR","D4","Y_to_X","NN_GC",0.0509,1,1,"No","No"
"SIR","GPR","D5","X_to_Y","Linear_F",0.4608,0.6312,0.6949,"No","No"
"SIR","GPR","D5","Y_to_X","Linear_F",0.8338,0.4353,0.6449,"No","No"
"SIR","GPR","D5","X_to_Y","NN_GC",0.0222,1,1,"No","No"
"SIR","GPR","D5","Y_to_X","NN_GC",0.1234,1,1,"No","No"
"SIR","GPR","D6","X_to_Y","Linear_F",15.4816,0,0,"Yes","Yes"
"SIR","GPR","D6","Y_to_X","Linear_F",9.9429,1e-04,0.0013,"Yes","Yes"
"SIR","GPR","D6","X_to_Y","NN_GC",0.1143,1,1,"No","No"
"SIR","GPR","D6","Y_to_X","NN_GC",0.0023,1,1,"No","No"
"SIR","USEMV","D1","X_to_Y","Linear_F",7.2156,9e-04,0.0035,"Yes","Yes"
"SIR","USEMV","D1","Y_to_X","Linear_F",3.7157,0.0254,0.0782,"Yes","Yes"
"SIR","USEMV","D1","X_to_Y","NN_GC",3.1195,1e-04,0.004,"Yes","Yes"
"SIR","USEMV","D1","Y_to_X","NN_GC",0.3557,0.9904,1,"No","No"
"SIR","USEMV","D2","X_to_Y","Linear_F",4.2379,0.0153,0.0399,"Yes","Yes"
"SIR","USEMV","D2","Y_to_X","Linear_F",0.965,0.3821,0.5918,"No","No"
"SIR","USEMV","D2","X_to_Y","NN_GC",0.0219,1,1,"No","No"
"SIR","USEMV","D2","Y_to_X","NN_GC",0.1496,1,1,"No","No"
"SIR","USEMV","D3","X_to_Y","Linear_F",3.5992,0.0285,0.0633,"Yes","Yes"
"SIR","USEMV","D3","Y_to_X","Linear_F",11.9393,0,0,"Yes","Yes"
"SIR","USEMV","D3","X_to_Y","NN_GC",0.0544,1,1,"No","No"
"SIR","USEMV","D3","Y_to_X","NN_GC",0.0608,1,1,"No","No"
"SIR","USEMV","D4","X_to_Y","Linear_F",27.2797,0,0,"Yes","Yes"
"SIR","USEMV","D4","Y_to_X","Linear_F",7.9025,4e-04,0.004,"Yes","Yes"
"SIR","USEMV","D4","X_to_Y","NN_GC",0.4781,0.9565,1,"No","No"
"SIR","USEMV","D4","Y_to_X","NN_GC",-0.0341,1,1,"No","No"
"SIR","USEMV","D5","X_to_Y","Linear_F",2.1257,0.121,0.2017,"No","No"
"SIR","USEMV","D5","Y_to_X","Linear_F",1.069,0.3446,0.5691,"No","No"
"SIR","USEMV","D5","X_to_Y","NN_GC",0.109,1,1,"No","No"
"SIR","USEMV","D5","Y_to_X","NN_GC",0.1921,0.9998,1,"No","No"
"SIR","USEMV","D6","X_to_Y","Linear_F",28.504,0,0,"Yes","Yes"
"SIR","USEMV","D6","Y_to_X","Linear_F",2.1218,0.1215,0.2751,"No","No"
"SIR","USEMV","D6","X_to_Y","NN_GC",-0.2068,1,1,"No","No"
"SIR","USEMV","D6","Y_to_X","NN_GC",0.7654,0.7244,1,"No","No"
"SIR","USMPU","D1","X_to_Y","Linear_F",4.2074,0.0157,0.0401,"Yes","Yes"
"SIR","USMPU","D1","Y_to_X","Linear_F",0.8011,0.4497,0.6502,"No","No"
"SIR","USMPU","D1","X_to_Y","NN_GC",2.9396,2e-04,0.006,"Yes","Yes"
"SIR","USMPU","D1","Y_to_X","NN_GC",0.556,0.9147,1,"No","No"
"SIR","USMPU","D2","X_to_Y","Linear_F",0.1805,0.835,0.842,"No","No"
"SIR","USMPU","D2","Y_to_X","Linear_F",1.8406,0.1604,0.35,"No","No"
"SIR","USMPU","D2","X_to_Y","NN_GC",0,1,1,"No","No"
"SIR","USMPU","D2","Y_to_X","NN_GC",1.0987,0.3553,1,"No","No"
"SIR","USMPU","D3","X_to_Y","Linear_F",4.147,0.0167,0.0417,"Yes","Yes"
"SIR","USMPU","D3","Y_to_X","Linear_F",1.4957,0.2257,0.4514,"No","No"
"SIR","USMPU","D3","X_to_Y","NN_GC",0.0447,1,1,"No","No"
"SIR","USMPU","D3","Y_to_X","NN_GC",0.1214,1,1,"No","No"
"SIR","USMPU","D4","X_to_Y","Linear_F",6.0528,0.0026,0.0084,"Yes","Yes"
"SIR","USMPU","D4","Y_to_X","Linear_F",10.6854,0,0,"Yes","Yes"
"SIR","USMPU","D4","X_to_Y","NN_GC",0.4648,0.962,1,"No","No"
"SIR","USMPU","D4","Y_to_X","NN_GC",-0.0179,1,1,"No","No"
"SIR","USMPU","D5","X_to_Y","Linear_F",10.1149,1e-04,5e-04,"Yes","Yes"
