"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USMPU","D3","Y_to_X","NN_GC",0.2146,0.9995,1,"No","No"
"Unemployment Rate","USMPU","D4","X_to_Y","Linear_F",3.5392,0.0302,0.0771,"Yes","Yes"
"Unemployment Rate","USMPU","D4","Y_to_X","Linear_F",3.3185,0.0375,0.1161,"Yes","No"
"Unemployment Rate","USMPU","D4","X_to_Y","NN_GC",-0.0046,1,1,"No","No"
"Unemployment Rate","USMPU","D4","Y_to_X","NN_GC",0.0155,1,1,"No","No"
"Unemployment Rate","USMPU","D5","X_to_Y","Linear_F",0.8117,0.445,0.5486,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","Linear_F",6.9981,0.0011,0.0082,"Yes","Yes"
"Unemployment Rate","USMPU","D5","X_to_Y","NN_GC",-0.054,1,1,"No","No"
"Unemployment Rate","USMPU","D5","Y_to_X","NN_GC",0.2292,0.9993,1,"No","No"
"Unemployment Rate","USMPU","D6","X_to_Y","Linear_F",4.3731,0.0134,0.0383,"Yes","Yes"
"Unemployment Rate","USMPU","D6","Y_to_X","Linear_F",8.6298,2e-04,0.0022,"Yes","Yes"
"Unemployment Rate","USMPU","D6","X_to_Y","NN_GC",-0.0144,1,1,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","NN_GC",-0.0363,1,1,"No","No"
"REER","EPU","D1","X_to_Y","Linear_F",0.7111,0.4919,0.5844,"No","No"
"REER","EPU","D1","Y_to_X","Linear_F",0.1575,0.8543,0.9072,"No","No"
"REER","EPU","D1","X_to_Y","NN_GC",0.3321,0.9935,1,"No","No"
"REER","EPU","D1","Y_to_X","NN_GC",0.1084,1,1,"No","No"
"REER","EPU","D2","X_to_Y","Linear_F",2.1867,0.114,0.2015,"No","No"
"REER","EPU","D2","Y_to_X","Linear_F",0.7277,0.4838,0.6762,"No","No"
"REER","EPU","D2","X_to_Y","NN_GC",0.087,1,1,"No","No"
"REER","EPU","D2","Y_to_X","NN_GC",0.0057,1,1,"No","No"
"REER","EPU","D3","X_to_Y","Linear_F",1.2618,0.2845,0.3793,"No","No"
"REER","EPU","D3","Y_to_X","Linear_F",4.0875,0.0177,0.0759,"Yes","Yes"
"REER","EPU","D3","X_to_Y","NN_GC",0.2539,0.9987,1,"No","No"
"REER","EPU","D3","Y_to_X","NN_GC",0.0046,1,1,"No","No"
"REER","EPU","D4","X_to_Y","Linear_F",14.4285,0,0,"Yes","Yes"
"REER","EPU","D4","Y_to_X","Linear_F",3.7194,0.0253,0.092,"Yes","Yes"
"REER","EPU","D4","X_to_Y","NN_GC",0.0409,1,1,"No","No"
"REER","EPU","D4","Y_to_X","NN_GC",0.1446,1,1,"No","No"
"REER","EPU","D5","X_to_Y","Linear_F",9.9157,1e-04,5e-04,"Yes","Yes"
"REER","EPU","D5","Y_to_X","Linear_F",0.1814,0.8341,0.8937,"No","No"
"REER","EPU","D5","X_to_Y","NN_GC",0.036,1,1,"No","No"
