"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"SIR","EPU","D1","Y_to_X","NN_GC",-0.0361,1,1,"No","No"
"SIR","EPU","D2","X_to_Y","Linear_F",1.2394,0.2909,0.4012,"No","No"
"SIR","EPU","D2","Y_to_X","Linear_F",0.827,0.4383,0.6575,"No","No"
"SIR","EPU","D2","X_to_Y","NN_GC",0.1987,0.9997,1,"No","No"
"SIR","EPU","D2","Y_to_X","NN_GC",0.1871,0.9998,1,"No","No"
"SIR","EPU","D3","X_to_Y","Linear_F",4.4137,0.0129,0.0397,"Yes","Yes"
"SIR","EPU","D3","Y_to_X","Linear_F",3.9278,0.0206,0.0883,"Yes","Yes"
"SIR","EPU","D3","X_to_Y","NN_GC",0.2533,0.9987,1,"No","No"
"SIR","EPU","D3","Y_to_X","NN_GC",0.0636,1,1,"No","No"
"SIR","EPU","D4","X_to_Y","Linear_F",11.8923,0,0,"Yes","Yes"
"SIR","EPU","D4","Y_to_X","Linear_F",8.0026,4e-04,0.0037,"Yes","Yes"
"SIR","EPU","D4","X_to_Y","NN_GC",0.1914,0.9998,1,"No","No"
"SIR","EPU","D4","Y_to_X","NN_GC",0.6611,0.8314,1,"No","No"
"SIR","EPU","D5","X_to_Y","Linear_F",10.8093,0,0,"Yes","Yes"
"SIR","EPU","D5","Y_to_X","Linear_F",1.8034,0.1664,0.3384,"No","No"
"SIR","EPU","D5","X_to_Y","NN_GC",0.0069,1,1,"No","No"
"SIR","EPU","D5","Y_to_X","NN_GC",0.1131,1,1,"No","No"
"SIR","EPU","D6","X_to_Y","Linear_F",0.8608,0.4238,0.4986,"No","No"
"SIR","EPU","D6","Y_to_X","Linear_F",6.2694,0.0021,0.014,"Yes","Yes"
"SIR","EPU","D6","X_to_Y","NN_GC",-0.071,1,1,"No","No"
"SIR","EPU","D6","Y_to_X","NN_GC",0.2262,0.9994,1,"No","No"
"SIR","GPR","D1","X_to_Y","Linear_F",0.8781,0.4166,0.4986,"No","No"
"SIR","GPR","D1","Y_to_X","Linear_F",0.1204,0.8866,0.9415,"No","No"
"SIR","GPR","D1","X_to_Y","NN_GC",0.0604,1,1,"No","No"
"SIR","GPR","D1","Y_to_X","NN_GC",1.2754,0.2114,1,"No","No"
"SIR","GPR","D2","X_to_Y","Linear_F",0.5764,0.5625,0.625,"No","No"
"SIR","GPR","D2","Y_to_X","Linear_F",0.5235,0.5929,0.7905,"No","No"
"SIR","GPR","D2","X_to_Y","NN_GC",0.183,0.9998,1,"No","No"
"SIR","GPR","D2","Y_to_X","NN_GC",1.8332,0.0266,1,"Yes","No"
"SIR","GPR","D3","X_to_Y","Linear_F",1.7091,0.1827,0.2963,"No","No"
"SIR","GPR","D3","Y_to_X","Linear_F",2.4958,0.084,0.2145,"Yes","No"
"SIR","GPR","D3","X_to_Y","NN_GC",0.4134,0.9787,1,"No","No"
"SIR","GPR","D3","Y_to_X","NN_GC",0.2773,0.9977,1,"No","No"
"SIR","GPR","D4","X_to_Y","Linear_F",2.4425,0.0886,0.1772,"Yes","No"
"SIR","GPR","D4","Y_to_X","Linear_F",0.9643,0.3824,0.6074,"No","No"
"SIR","GPR","D4","X_to_Y","NN_GC",0.1371,1,1,"No","No"
"SIR","GPR","D4","Y_to_X","NN_GC",0.1431,1,1,"No","No"
"SIR","GPR","D5","X_to_Y","Linear_F",0.869,0.4203,0.4986,"No","No"
"SIR","GPR","D5","Y_to_X","Linear_F",0.3448,0.7087,0.8504,"No","No"
"SIR","GPR","D5","X_to_Y","NN_GC",0.0108,1,1,"No","No"
"SIR","GPR","D5","Y_to_X","NN_GC",-0.07,1,1,"No","No"
"SIR","GPR","D6","X_to_Y","Linear_F",3.533,0.0304,0.0776,"Yes","Yes"
"SIR","GPR","D6","Y_to_X","Linear_F",1.6103,0.2014,0.3898,"No","No"
"SIR","GPR","D6","X_to_Y","NN_GC",-0.0578,1,1,"No","No"
"SIR","GPR","D6","Y_to_X","NN_GC",-0.0713,1,1,"No","No"
"SIR","USEMV","D1","X_to_Y","Linear_F",1.8547,0.1582,0.2674,"No","No"
