"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"Unemployment Rate","USMPU","D6","X_to_Y","NN_GC",-0.0254,1,1,"No","No"
"Unemployment Rate","USMPU","D6","Y_to_X","NN_GC",-0.0109,1,1,"No","No"
"REER","EPU","D1","X_to_Y","Linear_F",2.3435,0.0976,0.1748,"Yes","No"
"REER","EPU","D1","Y_to_X","Linear_F",0.6625,0.5163,0.6522,"No","No"
"REER","EPU","D1","X_to_Y","NN_GC",0.2374,0.9991,1,"No","No"
"REER","EPU","D1","Y_to_X","NN_GC",-0.0016,1,1,"No","No"
"REER","EPU","D2","X_to_Y","Linear_F",8.3367,3e-04,0.0013,"Yes","Yes"
"REER","EPU","D2","Y_to_X","Linear_F",2.1435,0.1189,0.2912,"No","No"
"REER","EPU","D2","X_to_Y","NN_GC",0.1186,1,1,"No","No"
"REER","EPU","D2","Y_to_X","NN_GC",0.1131,1,1,"No","No"
"REER","EPU","D3","X_to_Y","Linear_F",2.6697,0.0708,0.1349,"Yes","No"
"REER","EPU","D3","Y_to_X","Linear_F",5.0391,0.007,0.042,"Yes","Yes"
"REER","EPU","D3","X_to_Y","NN_GC",0.1946,0.9998,1,"No","No"
"REER","EPU","D3","Y_to_X","NN_GC",0.0082,1,1,"No","No"
"REER","EPU","D4","X_to_Y","Linear_F",0.995,0.3709,0.5001,"No","No"
"REER","EPU","D4","Y_to_X","Linear_F",0.9491,0.3882,0.5972,"No","No"
"REER","EPU","D4","X_to_Y","NN_GC",-0.0436,1,1,"No","No"
"REER","EPU","D4","Y_to_X","NN_GC",0.0383,1,1,"No","No"
"REER","EPU","D5","X_to_Y","Linear_F",3.2774,0.039,0.0867,"Yes","Yes"
"REER","EPU","D5","Y_to_X","Linear_F",0.7655,0.4659,0.6377,"No","No"
"REER","EPU","D5","X_to_Y","NN_GC",0.9408,0.5227,1,"No","No"
"REER","EPU","D5","Y_to_X","NN_GC",0.3317,0.9935,1,"No","No"
"REER","EPU","D6","X_to_Y","Linear_F",65.005,0,0,"Yes","Yes"
"REER","EPU","D6","Y_to_X","Linear_F",29.5881,0,0,"Yes","Yes"
"REER","EPU","D6","X_to_Y","NN_GC",0.124,1,1,"No","No"
"REER","EPU","D6","Y_to_X","NN_GC",0.0912,1,1,"No","No"
"REER","GPR","D1","X_to_Y","Linear_F",0.1623,0.8502,0.8795,"No","No"
"REER","GPR","D1","Y_to_X","Linear_F",0.0155,0.9846,0.9846,"No","No"
"REER","GPR","D1","X_to_Y","NN_GC",0.2707,0.998,1,"No","No"
"REER","GPR","D1","Y_to_X","NN_GC",-0.0284,1,1,"No","No"
"REER","GPR","D2","X_to_Y","Linear_F",0.4288,0.6517,0.752,"No","No"
"REER","GPR","D2","Y_to_X","Linear_F",0.1749,0.8396,0.8761,"No","No"
"REER","GPR","D2","X_to_Y","NN_GC",0.1108,1,1,"No","No"
"REER","GPR","D2","Y_to_X","NN_GC",0.367,0.9886,1,"No","No"
"REER","GPR","D3","X_to_Y","Linear_F",1.6796,0.1881,0.2787,"No","No"
"REER","GPR","D3","Y_to_X","Linear_F",2.9686,0.0528,0.1864,"Yes","No"
"REER","GPR","D3","X_to_Y","NN_GC",0.1801,0.9999,1,"No","No"
"REER","GPR","D3","Y_to_X","NN_GC",0.6999,0.7939,1,"No","No"
"REER","GPR","D4","X_to_Y","Linear_F",2.3772,0.0944,0.1716,"Yes","No"
"REER","GPR","D4","Y_to_X","Linear_F",6.4751,0.0018,0.0171,"Yes","Yes"
"REER","GPR","D4","X_to_Y","NN_GC",-0.047,1,1,"No","No"
"REER","GPR","D4","Y_to_X","NN_GC",0.0573,1,1,"No","No"
"REER","GPR","D5","X_to_Y","Linear_F",7.153,9e-04,0.0037,"Yes","Yes"
"REER","GPR","D5","Y_to_X","Linear_F",1.0769,0.3419,0.5691,"No","No"
"REER","GPR","D5","X_to_Y","NN_GC",0.8032,0.6819,1,"No","No"
"REER","GPR","D5","Y_to_X","NN_GC",0.3481,0.9915,1,"No","No"
"REER","GPR","D6","X_to_Y","Linear_F",22.4607,0,0,"Yes","Yes"
"REER","GPR","D6","Y_to_X","Linear_F",3.2159,0.0414,0.1552,"Yes","No"
"REER","GPR","D6","X_to_Y","NN_GC",0.1198,1,1,"No","No"
"REER","GPR","D6","Y_to_X","NN_GC",-0.0326,1,1,"No","No"
"REER","USEMV","D1","X_to_Y","Linear_F",3.2217,0.0412,0.0883,"Yes","Yes"
"REER","USEMV","D1","Y_to_X","Linear_F",1.5758,0.2084,0.4034,"No","No"
"REER","USEMV","D1","X_to_Y","NN_GC",0.216,0.9995,1,"No","No"
"REER","USEMV","D1","Y_to_X","NN_GC",0.5511,0.9178,1,"No","No"
"REER","USEMV","D2","X_to_Y","Linear_F",0.3373,0.7139,0.8082,"No","No"
"REER","USEMV","D2","Y_to_X","Linear_F",0.7067,0.494,0.6377,"No","No"
"REER","USEMV","D2","X_to_Y","NN_GC",0.1195,1,1,"No","No"
"REER","USEMV","D2","Y_to_X","NN_GC",0.1421,1,1,"No","No"
"REER","USEMV","D3","X_to_Y","Linear_F",0.2223,0.8008,0.8599,"No","No"
"REER","USEMV","D3","Y_to_X","Linear_F",0.3949,0.6741,0.7812,"No","No"
"REER","USEMV","D3","X_to_Y","NN_GC",0.1938,0.9998,1,"No","No"
"REER","USEMV","D3","Y_to_X","NN_GC",0.0828,1,1,"No","No"
"REER","USEMV","D4","X_to_Y","Linear_F",1.9948,0.1377,0.2264,"No","No"
"REER","USEMV","D4","Y_to_X","Linear_F",1.608,0.2019,0.3972,"No","No"
"REER","USEMV","D4","X_to_Y","NN_GC",-0.0407,1,1,"No","No"
"REER","USEMV","D4","Y_to_X","NN_GC",0.031,1,1,"No","No"
"REER","USEMV","D5","X_to_Y","Linear_F",3.3019,0.0381,0.0867,"Yes","Yes"
"REER","USEMV","D5","Y_to_X","Linear_F",0.9528,0.3867,0.5972,"No","No"
"REER","USEMV","D5","X_to_Y","NN_GC",0.7698,0.7195,1,"No","No"
"REER","USEMV","D5","Y_to_X","NN_GC",0.1259,1,1,"No","No"
"REER","USEMV","D6","X_to_Y","Linear_F",36.0041,0,0,"Yes","Yes"
"REER","USEMV","D6","Y_to_X","Linear_F",6.032,0.0027,0.0203,"Yes","Yes"
"REER","USEMV","D6","X_to_Y","NN_GC",0.1412,1,1,"No","No"
"REER","USEMV","D6","Y_to_X","NN_GC",0.8096,0.6746,1,"No","No"
"REER","USMPU","D1","X_to_Y","Linear_F",0.3444,0.7089,0.8082,"No","No"
"REER","USMPU","D1","Y_to_X","Linear_F",0.8089,0.4463,0.6377,"No","No"
"REER","USMPU","D1","X_to_Y","NN_GC",0.2101,0.9996,1,"No","No"
"REER","USMPU","D1","Y_to_X","NN_GC",0.8719,0.6023,1,"No","No"
"REER","USMPU","D2","X_to_Y","Linear_F",0.2491,0.7797,0.8584,"No","No"
"REER","USMPU","D2","Y_to_X","Linear_F",1.4225,0.2426,0.4621,"No","No"
