"Endogenous","Exogenous","Scale","Direction","Test","Statistic","p_value","p_value_fdr","Significant_Original","Significant_FDR"
"SIR","EPU","D1","Y_to_X","Linear_F",0.7133,0.4908,0.677,"No","No"
"SIR","EPU","D1","X_to_Y","NN_GC",0.0318,1,1,"No","No"
"SIR","EPU","D1","Y_to_X","NN_GC",0.1226,1,1,"No","No"
"SIR","EPU","D2","X_to_Y","Linear_F",2.7663,0.0644,0.1405,"Yes","No"
"SIR","EPU","D2","Y_to_X","Linear_F",1.5035,0.2239,0.4198,"No","No"
"SIR","EPU","D2","X_to_Y","NN_GC",-0.0238,1,1,"No","No"
"SIR","EPU","D2","Y_to_X","NN_GC",-0.0029,1,1,"No","No"
"SIR","EPU","D3","X_to_Y","Linear_F",1.8326,0.1617,0.2602,"No","No"
"SIR","EPU","D3","Y_to_X","Linear_F",6.6954,0.0014,0.0099,"Yes","Yes"
"SIR","EPU","D3","X_to_Y","NN_GC",2.1418,0.007,0.84,"Yes","No"
"SIR","EPU","D3","Y_to_X","NN_GC",0.0116,1,1,"No","No"
"SIR","EPU","D4","X_to_Y","Linear_F",9.2414,1e-04,7e-04,"Yes","Yes"
"SIR","EPU","D4","Y_to_X","Linear_F",6.4249,0.0018,0.012,"Yes","Yes"
"SIR","EPU","D4","X_to_Y","NN_GC",0.4795,0.9559,1,"No","No"
"SIR","EPU","D4","Y_to_X","NN_GC",-0.0335,1,1,"No","No"
"SIR","EPU","D5","X_to_Y","Linear_F",1.4134,0.2448,0.3438,"No","No"
"SIR","EPU","D5","Y_to_X","Linear_F",1.4549,0.235,0.4338,"No","No"
"SIR","EPU","D5","X_to_Y","NN_GC",-0.0496,1,1,"No","No"
"SIR","EPU","D5","Y_to_X","NN_GC",-0.034,1,1,"No","No"
"SIR","EPU","D6","X_to_Y","Linear_F",2.606,0.0754,0.1587,"Yes","No"
"SIR","EPU","D6","Y_to_X","Linear_F",3.2329,0.0407,0.1163,"Yes","No"
"SIR","EPU","D6","X_to_Y","NN_GC",0.4391,0.9712,1,"No","No"
"SIR","EPU","D6","Y_to_X","NN_GC",0.4179,0.9775,1,"No","No"
"SIR","GPR","D1","X_to_Y","Linear_F",0.2471,0.7812,0.8001,"No","No"
"SIR","GPR","D1","Y_to_X","Linear_F",0.7514,0.4726,0.6672,"No","No"
"SIR","GPR","D1","X_to_Y","NN_GC",0.0425,1,1,"No","No"
"SIR","GPR","D1","Y_to_X","NN_GC",0.9002,0.5694,1,"No","No"
"SIR","GPR","D2","X_to_Y","Linear_F",0.9072,0.4047,0.4856,"No","No"
"SIR","GPR","D2","Y_to_X","Linear_F",1.987,0.1388,0.2872,"No","No"
"SIR","GPR","D2","X_to_Y","NN_GC",-0.0209,1,1,"No","No"
"SIR","GPR","D2","Y_to_X","NN_GC",1.5463,0.0827,1,"Yes","No"
"SIR","GPR","D3","X_to_Y","Linear_F",1.872,0.1555,0.2592,"No","No"
"SIR","GPR","D3","Y_to_X","Linear_F",0.7572,0.4698,0.6672,"No","No"
"SIR","GPR","D3","X_to_Y","NN_GC",1.5879,0.0707,1,"Yes","No"
"SIR","GPR","D3","Y_to_X","NN_GC",0.4777,0.9567,1,"No","No"
"SIR","GPR","D4","X_to_Y","Linear_F",1.6049,0.2025,0.3037,"No","No"
"SIR","GPR","D4","Y_to_X","Linear_F",2.0761,0.1271,0.2773,"No","No"
"SIR","GPR","D4","X_to_Y","NN_GC",0.4804,0.9556,1,"No","No"
"SIR","GPR","D4","Y_to_X","NN_GC",0.0741,1,1,"No","No"
"SIR","GPR","D5","X_to_Y","Linear_F",4.679,0.0099,0.0392,"Yes","Yes"
"SIR","GPR","D5","Y_to_X","Linear_F",0.0695,0.9329,0.9568,"No","No"
"SIR","GPR","D5","X_to_Y","NN_GC",0.0303,1,1,"No","No"
"SIR","GPR","D5","Y_to_X","NN_GC",0.0733,1,1,"No","No"
"SIR","GPR","D6","X_to_Y","Linear_F",2.6402,0.0729,0.1562,"Yes","No"
"SIR","GPR","D6","Y_to_X","Linear_F",0.2149,0.8067,0.8881,"No","No"
"SIR","GPR","D6","X_to_Y","NN_GC",-0.1202,1,1,"No","No"
"SIR","GPR","D6","Y_to_X","NN_GC",0.0034,1,1,"No","No"
"SIR","USEMV","D1","X_to_Y","Linear_F",0.0704,0.9321,0.9321,"No","No"
"SIR","USEMV","D1","Y_to_X","Linear_F",2.8876,0.0572,0.1492,"Yes","No"
"SIR","USEMV","D1","X_to_Y","NN_GC",0.0453,1,1,"No","No"
"SIR","USEMV","D1","Y_to_X","NN_GC",0.5233,0.9344,1,"No","No"
"SIR","USEMV","D2","X_to_Y","Linear_F",0.4095,0.6643,0.7055,"No","No"
"SIR","USEMV","D2","Y_to_X","Linear_F",2.377,0.0945,0.2181,"Yes","No"
"SIR","USEMV","D2","X_to_Y","NN_GC",-0.0134,1,1,"No","No"
"SIR","USEMV","D2","Y_to_X","NN_GC",0.1533,1,1,"No","No"
"SIR","USEMV","D3","X_to_Y","Linear_F",1.449,0.2363,0.3376,"No","No"
"SIR","USEMV","D3","Y_to_X","Linear_F",2.0492,0.1305,0.2796,"No","No"
"SIR","USEMV","D3","X_to_Y","NN_GC",1.7718,0.0342,1,"Yes","No"
"SIR","USEMV","D3","Y_to_X","NN_GC",0.0639,1,1,"No","No"
"SIR","USEMV","D4","X_to_Y","Linear_F",3.2812,0.0388,0.097,"Yes","Yes"
"SIR","USEMV","D4","Y_to_X","Linear_F",0.2954,0.7444,0.8565,"No","No"
"SIR","USEMV","D4","X_to_Y","NN_GC",0.3992,0.9822,1,"No","No"
"SIR","USEMV","D4","Y_to_X","NN_GC",0.0203,1,1,"No","No"
"SIR","USEMV","D5","X_to_Y","Linear_F",7.8146,5e-04,0.0027,"Yes","Yes"
"SIR","USEMV","D5","Y_to_X","Linear_F",1.1408,0.3209,0.5275,"No","No"
"SIR","USEMV","D5","X_to_Y","NN_GC",0.0152,1,1,"No","No"
"SIR","USEMV","D5","Y_to_X","NN_GC",0.1578,0.9999,1,"No","No"
"SIR","USEMV","D6","X_to_Y","Linear_F",14.7554,0,0,"Yes","Yes"
"SIR","USEMV","D6","Y_to_X","Linear_F",8.4684,3e-04,0.0026,"Yes","Yes"
"SIR","USEMV","D6","X_to_Y","NN_GC",0.2005,0.9997,1,"No","No"
"SIR","USEMV","D6","Y_to_X","NN_GC",0.5273,0.9321,1,"No","No"
"SIR","USMPU","D1","X_to_Y","Linear_F",0.2555,0.7747,0.8001,"No","No"
"SIR","USMPU","D1","Y_to_X","Linear_F",0.9329,0.3945,0.5844,"No","No"
"SIR","USMPU","D1","X_to_Y","NN_GC",0.0377,1,1,"No","No"
"SIR","USMPU","D1","Y_to_X","NN_GC",0.8466,0.6318,1,"No","No"
"SIR","USMPU","D2","X_to_Y","Linear_F",0.7938,0.453,0.5278,"No","No"
"SIR","USMPU","D2","Y_to_X","Linear_F",0.9665,0.3815,0.5828,"No","No"
"SIR","USMPU","D2","X_to_Y","NN_GC",0.0042,1,1,"No","No"
"SIR","USMPU","D2","Y_to_X","NN_GC",1.1717,0.2897,1,"No","No"
"SIR","USMPU","D3","X_to_Y","Linear_F",3.9634,0.0199,0.0624,"Yes","Yes"
"SIR","USMPU","D3","Y_to_X","Linear_F",1.5851,0.2065,0.3933,"No","No"
